sentence,source,target,label,llm_label,title,abstract,doi
"Noteworthy that the antibacterial activity of Ergosterol was higher (14-17 mm) than peroxy ergosterol (11-14 mm), although ergosterol formed only one Hydrogen bond with the target, while peroxy ergosterol formed three hydrogen bonds",Ergosterol,Hydrogen,Component-Whole,component-whole,"Bioactive secondary metabolites from Trichoderma viride MM21: structure elucidation, molecular docking and biological activity.","Four bioactive metabolites; ergosterol (1), peroxy ergosterol (2), α-cyclopiazonic acid (3) and kojic acid (4), were isolated from the fungal sp. Trichoderma viride MM21. Their structures were assigned by cumulative analysis of NMR and mass spectra, and comparison with literature. The antimicrobial activity of the fungus supernatant, mycelial cake, cumulative crude extract and compounds 1-4 was broadly studied against 11 diverse pathogens, revealing auspicious activity results. Based on the molecular docking, ergosterol (1) and peroxy ergosterol (2) were picked up to be computationally tested against topoisomerase IV of Staphylococcus aureus. The nominated enzyme is a possible target for the antibacterial activity of triterpenoidal/steroidal compounds. Compounds 1, 2 showed a deep inserting inside the enzyme groove recording a good binding affinity of -8.1 and -8.4 kcal/mol, respectively. Noteworthy that the antibacterial activity of ergosterol was higher (14-17 mm) than peroxy ergosterol (11-14 mm), although ergosterol formed only one hydrogen bond with the target, while peroxy ergosterol formed three hydrogen bonds. Such higher antibacterial activity of ergosterol may be attributed to its interference with other proteins included in this inhibition. The cytotoxic activity was tested against brine shrimp, revealing 100% mortality for the supernatant, crude extract and whole isolated compounds. Such strong cytotoxicity is attributed most likely to the abundant productivity/concentration of α-cyclopiazonic acid and kojic acid.",10.1515/znc-2021-0284
"In this study, we investigate the role of Ethanol as a proton shuttle in an electrolyte containing tetrahydrofuran and 0.2 M lithium Perchlorate",Ethanol,Perchlorate,Component-Whole,component-whole,Is Ethanol Essential for the Lithium-Mediated Nitrogen Reduction Reaction?,"The lithium-mediated nitrogen reduction reaction (Li-NRR) is a promising method for decentralized ammonia synthesis using renewable energy. An organic electrolyte is utilized to combat the competing hydrogen evolution reaction, and lithium is plated to activate the inert N2 molecule. Ethanol is commonly used as a proton shuttle to provide hydrogen to the activated nitrogen. In this study, we investigate the role of ethanol as a proton shuttle in an electrolyte containing tetrahydrofuran and 0.2 M lithium perchlorate. Particularly designed electrochemical experiments show that ethanol is necessary for a good solid-electrolyte interphase but not for the synthesis of ammonia. In addition, electrochemical quartz crystal microbalance (EQCM) demonstrates that the SEI formation at the onset of lithium plating is of specific importance. Chemical batch synthesis of ammonia combined with real-time mass spectrometry confirms that protons can be shuttled from the anode to the cathode by other species even without ethanol. Moreover, it raises questions regarding the electrochemical nature of Li-NRR. Finally, we discuss electrolyte stability and electrochemical electrode potentials, highlighting the role of ethanol on electrolyte degradation.",10.1002/cssc.202301011
Conventional Ammonia production consumes significant energy and causes enormous Carbon dioxide (CO2) emissions globally,Ammonia,Carbon dioxide,Cause-Effect,cause-effect,One-Pot Synthesis of Ruthenium-Based Nanocatalyst Using Reduced Graphene Oxide as Matrix for Electrochemical Synthesis of Ammonia.,"Conventional ammonia production consumes significant energy and causes enormous carbon dioxide (CO2) emissions globally. To lower energy consumption and mitigate CO2 emissions, a facile, environmentally friendly, and cost-effective one-pot method for the synthesis of a ruthenium-based nitrogen reduction nanocatalyst has been developed using reduced graphene oxide (rGO) as a matrix. The nanocatalyst synthesis was based on a single-step simultaneous reduction of RuCl3 into ruthenium-based nanoparticles (Ru-based NPs) and graphene oxide (GO) into rGO using glucose as the reducing agent and stabilizer. The obtained ruthenium-based nanocatalyst with rGO as a matrix (Runano-based/rGO) has shown much higher catalytic activity at lower temperatures and pressures for ammonia synthesis than conventional iron catalysts. The rGO worked as a promising promoter for the electrochemical synthesis of ammonia due to its excellent electrical and thermal conductivity. The developed Runano-based/rGO nanocatalyst was characterized using transmission electron microscopy (TEM), high-resolution transmission electron microscopy (HRTEM), scanning electron microscopy (SEM), energy-dispersive spectroscopy (EDS), ultraviolet-visible (UV-vis) absorption spectroscopy, X-ray diffraction (XRD), Fourier-transform infrared spectroscopy (FT-IR), dynamic light scattering (DLS), inductively coupled plasma mass spectrometry (ICP-MS), and X-ray photoelectron spectroscopy (XPS). The results demonstrated that the size of the Ru-based NPs on the surface of rGO was 1.9 ± 0.2 nm and the ruthenium content was 25.03 wt %. Bulk electrolysis measurements were conducted on thin-layer electrodes at various cathodic potentials in a N2-saturated 0.1 M H2SO4 electrolyte at room temperature. From the chronoamperometric measurements, the maximum faradic efficiency (F.E.) of 2.1% for ammonia production on the nanostructured Runano-based/rGO electrocatalyst was achieved at a potential of -0.20 V vs reversible hydrogen electrode (RHE). This electrocatalyst has attained a superior ammonia production rate of 9.14 μg·h-1·mgcat.-1. The results demonstrate the feasibility of reducing N2 into ammonia under ambient conditions and warrant further exploration of the nanostructured Runano-based/rGO for electrochemical ammonia synthesis.",10.1021/acsami.2c18413
"2-Cl-HE was also observed to be the major chlorination product formed from HE with both reagent and enzymatically generated HOCl, just as it was formed ex vivo in different healthy and diseased mouse and human tissues upon incubation with glucose/Glucose oxidase to generate a flux of Hydrogen peroxide (H2O2)",Glucose oxidase,Hydrogen,Cause-Effect,component-whole,An improved method for the detection of myeloperoxidase chlorinating activity in biological systems using the redox probe hydroethidine.,"Conversion of the redox probe hydroethidine (HE) to 2-chloroethidium (2-Cl-E+) by myeloperoxidase (MPO)-derived hypochlorous acid (HOCl) provides comparable specificity and superior sensitivity to measurement of 3-chlorotyrosine (3-Cl-Tyr), the gold standard biomarker for MPO chlorinating activity in biological systems. However, a limitation of the former method is the complex mixture of products formed by the reaction of HE with reagent HOCl, coupled with the difficult purification of 2-Cl-E+ from this mixture for analytical purposes. This limitation prompted us to test whether 2-Cl-E+ could be formed by reaction of HE with the strong and widely used chlorinating agent, N-chlorosuccinimide (NCS). Unexpectedly, such reaction yielded 2-chlorohydroethidine (2-Cl-HE) as the major product in addition to 2-Cl-E+, as assessed by high performance liquid chromatography (HPLC), mass spectrometry (MS), and nuclear magnetic resonance (NMR). 2-Cl-HE was also observed to be the major chlorination product formed from HE with both reagent and enzymatically generated HOCl, just as it was formed ex vivo in different healthy and diseased mouse and human tissues upon incubation with glucose/glucose oxidase to generate a flux of hydrogen peroxide (H2O2). Quantification of 2-Cl-HE plus 2-Cl-E+ improved the sensitivity of the HE-based method compared with measurement of only 2-Cl-E+. Moreover, 2-chlorodimidium (2-Cl-D+) was developed as a practical internal standard instead of the previously used internal standard, deuterated 2-Cl-E+ (d5-2-Cl-E+). Overall, the present study describes an improved method for the detection of MPO/chlorinating activity in biological systems of health and disease.",10.1016/j.freeradbiomed.2022.12.014
"Copper-based electrocatalytic materials play a critical role in various electrocatalytic processes, including the electroreduction of Carbon dioxide and nitrate",Copper,Carbon dioxide,Component-Whole,cause-effect,Roughness Factors of Electrodeposited Nanostructured Copper Foams.,"Copper-based electrocatalytic materials play a critical role in various electrocatalytic processes, including the electroreduction of carbon dioxide and nitrate. Three-dimensional nanostructured electrodes are particularly advantageous for electrocatalytic applications due to their large surface area, which facilitates charge transfer and mass transport. However, the real surface area (RSA) of electrocatalysts is a crucial parameter that is often overlooked in experimental studies of high-surface-area copper electrodes. In this study, we investigate the roughness factors of electrodeposited copper foams with varying thicknesses and morphologies, obtained using the hydrogen bubble dynamic template technique. Underpotential deposition (UPD) of metal adatoms is one of the most reliable methods for estimating the RSA of highly dispersed catalysts. We aim to illustrate the applicability of UPD of lead for the determination of the RSA of copper deposits with hierarchical porosity. To find the appropriate experimental conditions that allow for efficient minimization of the limitations related to the slow diffusion of lead ions in the pores of the material and background currents of the reduction of traces of oxygen, we explore the effect of lead ion concentration, stirring rate, scan rate, monolayer deposition time and solution pH on the accuracy of RSA estimates. Under the optimized measurement conditions, Pb UPD allowed to estimate roughness factors as high as 400 for 100 µm thick foams, which translates into a specific surface area of ~6 m2·g-1. The proposed measurement protocol may be further applied to estimate the RSA of copper deposits with similar or higher roughness.",10.3390/nano13233011
"Owing to structural similarities and varying maximum residue limits between florfenicol and other Chloramphenicol (CAP)-type antibiotics, including Thiamphenicol (TAP) and chloramphenicol (CAP), there is an urgent need for a rapid and effective immunoassay method to distinguish them, in order to minimize the risk of false positives",Chloramphenicol,Thiamphenicol,Component-Whole,component-whole,Development of a monoclonal antibody-based time-resolved fluorescence immunochromatographic assay strip for sensitively detecting florfenicol residues in milk and eggs: Theoretical chemical insights into unexpected high specificity.,"Florfenicol (FF), with its broad-spectrum antibacterial activity, is frequently abused in the livestock and poultry industries and has aroused the growing public concern. Owing to structural similarities and varying maximum residue limits between florfenicol and other chloramphenicol (CAP)-type antibiotics, including thiamphenicol (TAP) and chloramphenicol (CAP), there is an urgent need for a rapid and effective immunoassay method to distinguish them, in order to minimize the risk of false positives. Fortunately, a highly specific monoclonal antibody (mAb), named as SF11, has been developed using hybridoma technology. Molecular simulations have revealed that the mAb SF11's specificity in recognizing florfenicol stems from the π-π stacking interaction between florfenicol and the mAb SF11 binding pocket. Using this highly specific mAb, a sensitive time-resolved fluorescence immunochromatographic assay (TRFICA) strip for rapid florfenicol detection has been developed. Under optimal conditions, this TRFICA demonstrated good analytical performance for the detection of florfenicol in milk and eggs samples, with the half-maximal inhibition concentration (IC50) values of 1.89 and 2.86 ng mL-1, the limit of detection (LOD) of 0.23 and 0.48 ng mL-1, the cut-off values of 62.50 and 31.25 ng mL-1, and the testing time of approximately thirteen minutes. Spiked recoveries in the milk and eggs samples ranged from 104.7 % to 112.3 % and 95.3 % to 116.4 %, respectively, with no obvious cross-reactions with the other analogues observed. The TRFICA results correlated well with those of high-performance liquid chromatography tandem mass spectrometry (HPLC-MS/MS) for real samples, indicating that the developed TRFICA method was sensitive, accurate and adapted for the rapid determination of florfenicol in milk and egg samples.",10.1016/j.ijbiomac.2024.132381
Molecular simulations have revealed that the mAb SF11's specificity in recognizing Florfenicol stems from the π-π stacking interaction between Florfenicol and the mAb SF11 binding pocket,in recognizing Florfenicol,interaction between Florfenicol,Cause-Effect,cause-effect,Development of a monoclonal antibody-based time-resolved fluorescence immunochromatographic assay strip for sensitively detecting florfenicol residues in milk and eggs: Theoretical chemical insights into unexpected high specificity.,"Florfenicol (FF), with its broad-spectrum antibacterial activity, is frequently abused in the livestock and poultry industries and has aroused the growing public concern. Owing to structural similarities and varying maximum residue limits between florfenicol and other chloramphenicol (CAP)-type antibiotics, including thiamphenicol (TAP) and chloramphenicol (CAP), there is an urgent need for a rapid and effective immunoassay method to distinguish them, in order to minimize the risk of false positives. Fortunately, a highly specific monoclonal antibody (mAb), named as SF11, has been developed using hybridoma technology. Molecular simulations have revealed that the mAb SF11's specificity in recognizing florfenicol stems from the π-π stacking interaction between florfenicol and the mAb SF11 binding pocket. Using this highly specific mAb, a sensitive time-resolved fluorescence immunochromatographic assay (TRFICA) strip for rapid florfenicol detection has been developed. Under optimal conditions, this TRFICA demonstrated good analytical performance for the detection of florfenicol in milk and eggs samples, with the half-maximal inhibition concentration (IC50) values of 1.89 and 2.86 ng mL-1, the limit of detection (LOD) of 0.23 and 0.48 ng mL-1, the cut-off values of 62.50 and 31.25 ng mL-1, and the testing time of approximately thirteen minutes. Spiked recoveries in the milk and eggs samples ranged from 104.7 % to 112.3 % and 95.3 % to 116.4 %, respectively, with no obvious cross-reactions with the other analogues observed. The TRFICA results correlated well with those of high-performance liquid chromatography tandem mass spectrometry (HPLC-MS/MS) for real samples, indicating that the developed TRFICA method was sensitive, accurate and adapted for the rapid determination of florfenicol in milk and egg samples.",10.1016/j.ijbiomac.2024.132381
The rapid transition to the inductive stage under Nitrogen-depletion conditions caused by 1.3 or 2.6 g/L Sodium Acetate promoted the accumulation of astaxanthin,Nitrogen,Sodium Acetate,Cause-Effect,cause-effect,Effects of Four Organic Carbon Sources on the Growth and Astaxanthin Accumulation of Haematococcus lacustris.,"The microalga Haematococcus lacustris has a complex life cycle and a slow growth rate, hampering its mass cultivation. Culture of microalgae with organic carbon sources can increase the growth rate. Few studies have evaluated the effects of organic carbon sources on H. lacustris. We compared the vegetative and inductive stages of H. lacustris under autotrophic and mixotrophic conditions using four organic carbon sources: sodium acetate, glycerol, sodium gluconate, and ribose, each at various concentrations (0.325, 0.65, 1.3, and 2.6 g/L). The cell density was increased by 1.3 g/L of glycerol in the vegetative stage. The rapid transition to the inductive stage under nitrogen-depletion conditions caused by 1.3 or 2.6 g/L sodium acetate promoted the accumulation of astaxanthin. The production of astaxanthin by H. lacustris in mass culture using organic carbon sources could increase profitability.",10.3390/life14010029
Electrocatalytic Water splitting is a promising solution for generating clean Hydrogen,Water,Hydrogen,Cause-Effect,component-whole,A facile synthesis of N-doped carbon encapsulated multimetallic carbonitride as a robust electrocatalyst for oxygen evolution reaction.,"Electrocatalytic water splitting is a promising solution for generating clean hydrogen. Transition metal compounds are among the most extensively investigated catalysts developed to date for water oxidation in alkaline media, a process also known as the oxygen evolution reaction (OER). However, the application of these catalysts was constrained by insufficient stability arising from surface oxidation and metal dissolution under high OER potential. In this work, we developed a facile approach using urea-based gel as the precursor of preparing a series of multimetallic carbonitride particles which were encapsulated by N-doped carbon (NC). In particular, (MoCoFeNiZr)CN@NC core-shell structure delivered a low overpotential of 246 mV at a current density of 10 mA cm-2 in 1 M KOH during OER. Importantly, operando differential electrochemical mass spectrometry (DEMS), together with multiple microscopic and spectroscopic analyses, indicated that the NC shells effectively maintained the crystalline stability of carbonitride via suppressing the surface reconstruction during catalysis. The highly graphitic NC also demonstrates excellent stability against oxidation. This work shows a promising strategy of stabilizing electrocatalyst at high anodic potential, paving the way for the development of robust electrode materials for energy conversion.",10.1016/j.jcis.2024.10.120
"On the other hand, the in vitro Calcium channel blocking activity was evaluated by IC50 measurement and results revealed that compounds 4c, 7a, 7b, 7c, 8c, 9a, 9b, and 9c had comparable Calcium channel blocking activity with the reference Nifedipine",in vitro Calcium,had comparable Calcium,Cause-Effect,component-whole,"Design, Synthesis, Molecular Modeling, and Biological Evaluation of Novel Pyrimidine Derivatives as Potential Calcium Channel Blockers.","Pyrimidines play an important role in modern medical fields. They have a wide spectrum of biological activities such as antimicrobial, anticancer, anti-allergic, anti-leishmanial, antioxidant agents and others. Moreover, in recent years, 3,4-dihydropyrimidin-2(1H)ones have attracted researchers to synthesize them via Biginelli reaction and evaluate their antihypertensive activities as bioisosters of Nifedipine, which is a famous calcium channel blocker. Our new target compounds were prepared through one-pot reaction of thiourea 1, ethyl acetoacetate 2 and/or 1H-indole-2-carbaldehyde, 2-chloroquinoline-3-carbaldehyde, 1,3-diphenyl-1H-pyrazole-4-carbaldehyde, 3a-c in acid medium (HCl) yielding pyrimidines 4a-c, which in turn were hydrolyzed to carboxylic acid derivatives 5a-c which were chlorinated by SOCl2 to give acyl chlorides 6a-c. Finally, the latter were reacted with some selected aromatic amines, namely, aniline, p-toluidine and p-nitroaniline, producing amides 7a-c, 8a-c, and 9a-c. The purity of the prepared compounds was examined via TLC monitoring, and structures were confirmed by different spectroscopic techniques such as IR, 1HNMR, 13CNMR, and mass spectroscopy. The in vivo evaluation of the antihypertensive activity revealed that compounds 4c, 7a, 7c, 8c, 9b and 9c had comparable antihypertensive properties with Nifedipine. On the other hand, the in vitro calcium channel blocking activity was evaluated by IC50 measurement and results revealed that compounds 4c, 7a, 7b, 7c, 8c, 9a, 9b, and 9c had comparable calcium channel blocking activity with the reference Nifedipine. Based on the aforementioned biological results, we selected compounds 8c and 9c to be docked onto Ryanodine and dihydropyridine receptors. Furthermore, we developed a structure-activity relationship. The designed compounds in this study show promising activity profiles in reducing blood pressure and as calcium channel blockers, and could be considered as new potential antihypertensive and/or antianginal agents.",10.3390/molecules28124869
"On the other hand, the in vitro Calcium channel blocking activity was evaluated by IC50 measurement and results revealed that compounds 4c, 7a, 7b, 7c, 8c, 9a, 9b, and 9c had comparable calcium channel blocking activity with the reference Nifedipine",Calcium,Nifedipine,Cause-Effect,cause-effect,"Design, Synthesis, Molecular Modeling, and Biological Evaluation of Novel Pyrimidine Derivatives as Potential Calcium Channel Blockers.","Pyrimidines play an important role in modern medical fields. They have a wide spectrum of biological activities such as antimicrobial, anticancer, anti-allergic, anti-leishmanial, antioxidant agents and others. Moreover, in recent years, 3,4-dihydropyrimidin-2(1H)ones have attracted researchers to synthesize them via Biginelli reaction and evaluate their antihypertensive activities as bioisosters of Nifedipine, which is a famous calcium channel blocker. Our new target compounds were prepared through one-pot reaction of thiourea 1, ethyl acetoacetate 2 and/or 1H-indole-2-carbaldehyde, 2-chloroquinoline-3-carbaldehyde, 1,3-diphenyl-1H-pyrazole-4-carbaldehyde, 3a-c in acid medium (HCl) yielding pyrimidines 4a-c, which in turn were hydrolyzed to carboxylic acid derivatives 5a-c which were chlorinated by SOCl2 to give acyl chlorides 6a-c. Finally, the latter were reacted with some selected aromatic amines, namely, aniline, p-toluidine and p-nitroaniline, producing amides 7a-c, 8a-c, and 9a-c. The purity of the prepared compounds was examined via TLC monitoring, and structures were confirmed by different spectroscopic techniques such as IR, 1HNMR, 13CNMR, and mass spectroscopy. The in vivo evaluation of the antihypertensive activity revealed that compounds 4c, 7a, 7c, 8c, 9b and 9c had comparable antihypertensive properties with Nifedipine. On the other hand, the in vitro calcium channel blocking activity was evaluated by IC50 measurement and results revealed that compounds 4c, 7a, 7b, 7c, 8c, 9a, 9b, and 9c had comparable calcium channel blocking activity with the reference Nifedipine. Based on the aforementioned biological results, we selected compounds 8c and 9c to be docked onto Ryanodine and dihydropyridine receptors. Furthermore, we developed a structure-activity relationship. The designed compounds in this study show promising activity profiles in reducing blood pressure and as calcium channel blockers, and could be considered as new potential antihypertensive and/or antianginal agents.",10.3390/molecules28124869
"Fluoxetine accumulated mainly in the stem and the lower and middle leaf, while Carbamazepine accumulated in the upper leaf",Fluoxetine,Carbamazepine,Cause-Effect,neither,"Influence of exposure time, physicochemical properties, and plant transpiration on the uptake dynamics and translocation of pharmaceutical and personal care products in the aquatic macrophyte Typha latifolia.","Typha latifolia is widely used as a phytoremediation model plant for organic compounds. However, the dynamic uptake and translocation of pharmaceutical and personal care products (PPCPs) and their relationship with physicochemical properties, such as lipophilicity (LogKow), ionization behavior (pKa), pH-dependent lipophilicity (LogDow), exposure time and transpiration, are scarcely studied. In the current study, hydroponically grown T. latifolia was exposed to carbamazepine, fluoxetine, gemfibrozil, and triclosan at environmentally relevant concentrations (20 μg/L each). Eighteen out of thirty-six plants were exposed to the PPCPs and the other eighteen were untreated. Plants were harvested at 7, 14, 21, 28, 35, and 42 days and separated into root, rhizome, sprouts, stem, and lower, middle, and upper leaf sections. Dry tissue biomass was determined. PPCP tissue concentrations were analyzed by LC-MS/MS. PPCP mass per tissue type was calculated for each individual compound and for the sum of all compounds during each exposure time. Carbamazepine, fluoxetine, and triclosan were detected in all tissues, while gemfibrozil was detected only in roots and rhizomes. In roots, triclosan and gemfibrozil mass surpassed 80% of the PPCP mass, while in leaf carbamazepine and fluoxetine mass represented 90%. Fluoxetine accumulated mainly in the stem and the lower and middle leaf, while carbamazepine accumulated in the upper leaf. The PPCP mass in roots and rhizome was strongly positively correlated with LogDow, while in leaf it was correlated with water transpired and pKa. PPCP uptake and translocation in T. latifolia is a dynamic process determined by the properties of contaminants and plants.",10.1016/j.scitotenv.2023.165107
"METHODS
DBS samples were prepared by a two-step quantitative sampling method, i.e., volumetric sampling of a quantitative 10 μL volume of peripheral blood and an 8 mm diameter whole punch extraction by a methanol/Water (80/20, v/v) mixture containing 125 mM Formic acid",Water,Formic acid,Component-Whole,component-whole,"From ""wet"" matrices to ""dry"" blood spot sampling strategy: a versatile LC-MS/MS assay for simultaneous monitoring caffeine and its three primary metabolites in preterm infants.","OBJECTIVES
To update traditional ""wet"" matrices to dried blood spot (DBS) sampling, based on the liquid chromatography coupled with tandem mass spectrometry (LC-MS/MS) technique, and develop a method for simultaneous analyzing caffeine and its three primary metabolites (theobromine, paraxanthine, and theophylline), supporting routine therapeutic drug monitoring (TDM) for preterm infants.


METHODS
DBS samples were prepared by a two-step quantitative sampling method, i.e., volumetric sampling of a quantitative 10 μL volume of peripheral blood and an 8 mm diameter whole punch extraction by a methanol/water (80/20, v/v) mixture containing 125 mM formic acid. Four paired stable isotope labeled internal standards and a collision energy defect strategy were applied for the method optimization. The method was fully validated following international guidelines and industrial recommendations on DBS analysis. Cross validation with previously developed plasma method was also proceeded. The validated method was then implemented on the TDM for preterm infants.


RESULTS
The two-step quantitative sampling strategy and a high recovery extraction method were developed and optimized. The method validation results were all within the acceptable criteria. Satisfactory parallelism, concordance, and correlation were observed between DBS and plasma concentrations of the four analytes. The method was applied to provide routine TDM services to 20 preterm infants.


CONCLUSIONS
A versatile LC-MS/MS platform for simultaneous monitoring caffeine and its three primary metabolites was developed, fully validated, and successfully applied into the routine clinical TDM practices. Sampling method switching from ""wet"" matrices to ""dry"" DBS will facilitate and support the precision dosing of caffeine for preterm infants.",10.1515/cclm-2023-0310
"Choline plays many important roles, including the synthesis of Acetylcholine, and may affect muscle responses to exercise",Choline,Acetylcholine,Component-Whole,component-whole,The Effect of Choline and Resistance Training on Strength and Lean Mass in Older Adults.,"Choline plays many important roles, including the synthesis of acetylcholine, and may affect muscle responses to exercise. We previously observed correlations between low choline intake and reduced gains in strength and lean mass following a 12-week resistance exercise training (RET) program for older adults. To further explore these findings, we conducted a randomized controlled trial. Three groups of 50-to-69-year-old healthy adults underwent a 12-week RET program (3x/week, 3 sets, 8-12 reps, 70% of maximum strength (1RM)) and submitted >48 diet logs (>4x/week for 12 weeks). Participants' diets were supplemented with 0.7 mg/kg lean/d (low, n = 13), 2.8 mg/kg lean/d (med, n = 11), or 7.5 mg/kg lean/d (high, n = 13) of choline from egg yolk and protein powder. The ANCOVA tests showed that low choline intake, compared with med or high choline intakes, resulted in significantly diminished gains in composite strength (leg press + chest press 1RM; low, 19.4 ± 8.2%; med, 46.8 ± 8.9%; high, 47.4 ± 8.1%; p = 0.034) and thigh-muscle quality (leg press 1RM/thigh lean mass; low, 12.3 ± 9.6%; med/high, 46.4 ± 7.0%; p = 0.010) after controlling for lean mass, protein, betaine, and vitamin B12. These data suggest that low choline intake may negatively affect strength gains with RET in older adults.",10.3390/nu15183874
"The ANCOVA tests showed that low Choline intake, compared with med or high choline intakes, resulted in significantly diminished gains in composite strength (leg press + chest press 1RM; low, 19.4 ± 8.2%; med, 46.8 ± 8.9%; high, 47.4 ± 8.1%; p = 0.034) and thigh-muscle quality (leg press 1RM/thigh lean mass; low, 12.3 ± 9.6%; med/high, 46.4 ± 7.0%; p = 0.010) after controlling for lean mass, protein, Betaine, and vitamin B12",Choline,Betaine,Cause-Effect,cause-effect,The Effect of Choline and Resistance Training on Strength and Lean Mass in Older Adults.,"Choline plays many important roles, including the synthesis of acetylcholine, and may affect muscle responses to exercise. We previously observed correlations between low choline intake and reduced gains in strength and lean mass following a 12-week resistance exercise training (RET) program for older adults. To further explore these findings, we conducted a randomized controlled trial. Three groups of 50-to-69-year-old healthy adults underwent a 12-week RET program (3x/week, 3 sets, 8-12 reps, 70% of maximum strength (1RM)) and submitted >48 diet logs (>4x/week for 12 weeks). Participants' diets were supplemented with 0.7 mg/kg lean/d (low, n = 13), 2.8 mg/kg lean/d (med, n = 11), or 7.5 mg/kg lean/d (high, n = 13) of choline from egg yolk and protein powder. The ANCOVA tests showed that low choline intake, compared with med or high choline intakes, resulted in significantly diminished gains in composite strength (leg press + chest press 1RM; low, 19.4 ± 8.2%; med, 46.8 ± 8.9%; high, 47.4 ± 8.1%; p = 0.034) and thigh-muscle quality (leg press 1RM/thigh lean mass; low, 12.3 ± 9.6%; med/high, 46.4 ± 7.0%; p = 0.010) after controlling for lean mass, protein, betaine, and vitamin B12. These data suggest that low choline intake may negatively affect strength gains with RET in older adults.",10.3390/nu15183874
"Ferroptosis is driven by Iron‑dependent accumulation of lipid hydroperoxides, and hemolytic hyperbilirubinemia causes accumulation of unconjugated bilirubin and Iron",driven by Iron,bilirubin and Iron,Cause-Effect,cause-effect,Ferroptosis contributes to hemolytic hyperbilirubinemia‑induced brain damage in vivo and in vitro.,"Ferroptosis is driven by iron‑dependent accumulation of lipid hydroperoxides, and hemolytic hyperbilirubinemia causes accumulation of unconjugated bilirubin and iron. The present study aimed to assess the role of ferroptosis in hemolytic hyperbilirubinemia‑induced brain damage (HHIBD). Rats were randomly divided into the control, phenylhydrazine (PHZ) and deferoxamine (DFO) + PHZ groups, with 12 rats in each group. Ferroptosis‑associated biochemical and protein indicators were measured in the brain tissue of rats. We also performed tandem mass tag‑labeled proteomic analysis. The levels of iron and malondialdehyde were significantly higher and levels of glutathione (GSH) and superoxide dismutase activity significantly lower in the brain tissues of the PHZ group compared with those in the control group. HHIBD also resulted in significant increases in the expression of the ferroptosis‑related proteins acyl‑CoA synthetase long‑chain family member 4, ferritin heavy chain 1 and transferrin receptor and divalent metal transporter 1, as well as a significant reduction in the expression of ferroptosis suppressor protein 1. Kyoto Encyclopedia of Genes and Genomes pathway enrichment analysis demonstrated that the differentially expressed proteins of rat brain tissues between the control and PHZ groups were significantly involved in ferroptosis, GSH metabolism and fatty acid biosynthesis pathways. Pretreatment with DFO induced antioxidant activity and alleviated lipid peroxidation‑mediated HHIBD. In addition, PC12 cells treated with ferric ammonium citrate showed shrinking mitochondria, high mitochondrial membrane density, and increased lipid reactive oxygen species and intracellular ferrous iron, which were antagonized by pretreatment with ferrostatin‑1 or DFO, which was reversed by pretreatment with ferrostatin‑1 or DFO. The present study demonstrated that ferroptosis is involved in HHIBD and provided novel insights into candidate proteins that are potentially involved in ferroptosis in the brain during hemolytic hyperbilirubinemia.",
"Mass spectrometry analysis confirmed the detection of oligopeptides from four Amino acids, including L-Lysine, D-Lysine, L-Phenylalanine, and D-Phenylalanine",Amino acids,Lysine,Component-Whole,component-whole,Ribozyme synthesis of both L- and D- amino acid oligos.,"The ribosome is responsible for assembling proteins using 20 naturally occurring L-handed amino acids. However, incorporating non-natural amino acids into a protein is a challenging process needs improvement. In this study, we report a new possible approach to creating nonnatural peptides using ribozymes inspired by the peptidyl transfer center. These RNA scaffolds, which are approximately 100 nucleotides in length, bind to RNase T1 truncated tRNA-like chimeras and bring them into close proximity to facilitate peptide ligation. We used single-molecule fluorescence resonance energy transfer (smFRET) to show close distances between RNA-RNA, tRNALys-tRNALys, and RNA-tRNALys pairs, which strongly suggests that the mechanism of peptide ligation is due to the proximity of the substrate through dimerization of the enzymes. Mass spectrometry analysis confirmed the detection of oligopeptides from four amino acids, including L-Lysine, D-Lysine, L-Phenylalanine, and D-Phenylalanine. These results indicate that ribozymes have greater flexibility in accommodating nonnatural amino acids. Our findings pave the way for potentially new avenues in the synthesis of nonnatural peptides, beyond the limitations of ribosomal peptide synthesis and other existing methods.",10.1101/2023.04.28.538729
