sentence,source,target,label,llm_label
"Red yeast Rice (RYR) is marketed as a dietary supplement because it contains natural 3-hydroxy-3-methylglutaryl Coenzyme A reductase inhibitors (statins), including monacolin K",Rice,Coenzyme A,Component-Whole,component-whole
"Tetracycline was used as an internal standard in this experiment, with the mobile phase composed of Water (with 0.1 % formic acid) and acetonitrile (using gradient elution) flowing at a rate of 0.35 ml/min, and the column temperature set at 30 °C",Tetracycline,Water,Component-Whole,component-whole
"METHODS
For a birth cohort of 285,614 singletons born in Los Angeles County, California, in the period 2017-2019, we estimated speciated  exposures modeled from land use regression with cokriging, including brake and tire wear related metals (barium and Zinc), black carbon, and three markers of oxidative potential (OP), including modeled reactive Oxygen species based on measured iron and copper (ROS), OH formation (), and dithiothreitol (DTT) loss ()",Zinc,Oxygen,Component-Whole,component-whole
"Microtoxic products such as those containing Carbazole were generated during DCF degradation with Ozone, UVA and UVC",Carbazole,Ozone,Cause-Effect,cause-effect
"This study explored various preparation processes to create the cytarabine/Daunorubicin co-loaded liposome (the Cyt/Daun liposome) and eventually settled on two methods: the sequential loading approach, thin film hydration-extrusion-Copper ion gradient, and the simultaneous encapsulation technique, copper ion gradient-concentration gradient",Daunorubicin,Copper,Component-Whole,component-whole
"On the basis of 16S marker gene sequencing data, Tobramycin was found to cause a strong reduction in the diversity and relative abundance of the microbiome, whereas Colistin sulfate had only a marginal impact",Tobramycin,Colistin,Cause-Effect,cause-effect
"Thermal treatment in a Polyvinyl alcohol gel medium is employed for the scalable synthesis of capsules with a wide range of fluorescent dyes, including Rhodamine 6G, pyronin B, fluorescein, acridine yellow, acridine orange, thiazine red, and previously reported rhodamine B",Polyvinyl alcohol,Rhodamine 6G,Component-Whole,component-whole
"Unlike conventional Furfural manufacturing processes, which often result in substantial cellulose degradation and environmental concerns associated with Sulfuric acid usage, our method utilizes phosphoric acid as a catalyst to achieve high furfural yield while minimizing cellulose destruction",Furfural,Sulfuric acid,Cause-Effect,cause-effect
"Particular emphasis is placed on the oxidation of biomass derived furanic compounds such as furfural and 5-Hydroxymethylfurfural (HMF), which can yield value-added chemicals, including furoic acid (FA), Maleic acid (MA), and 2,5-furandicarboxylic acid (FDCA) for renewable materials and other commodities",5-Hydroxymethylfurfural,Maleic acid,Component-Whole,component-whole
"N-Acetylglucosamine kinase (NAGK), a major enzyme of sugar-kinase/Hsp70/actin superfamily, catalyses the conversion of N-acetylglucosamine to N-acetylglucosamine-6-phosphate, the first step leading to the salvage synthesis of Uridine diphosphate N-acetylglucosamine",N-Acetylglucosamine,Uridine,Cause-Effect,cause-effect
"Thereafter, lean or obese rats were fed their respective diets and received drinking Water containing either 1.51% l-Arginine-HCl or 2.55% alanine (isonitrogenous control) (n = 8/treatment group)",Water,Arginine,Component-Whole,component-whole
"METHODS
Plant tissues were ground in liquid Nitrogen to a uniform mass and homogenized at 4°C in the buffer containing 50 mM HEPES (pH 7.5), 1 mM EDTA, 1 mM EGTA, 3 mM DTT, 5 mM MgCl2, and 0.5 mM PMSF",Nitrogen,HEPE,Component-Whole,component-whole
"The results also indicated good antibacterial activity of D4 with an IC50 of 0.25 mg/mL, compared to Ciprofloxacin with an IC50 of 0.0039 mg/mL, against two Gram-negative (Pseudomonas aeruginosa, Escherichia coli) and three Gram-positive (Streptococcus pyogenes, Bacillus cereus and Staphylococcus aureus) bacteria",Ciprofloxacin,Pseudomonas aeruginosa,Component-Whole,cause-effect
The antibacterial activity of the compounds was evaluated against two Gram-positive bacteria (Staphylococcus aureus and Bacillus subtilis) and two Gram-negative bacteria (Escherichia coli and Pseudomonas aeruginosa) based on the Kirby-Bauer method,Bacillus subtilis,Escherichia coli,Component-Whole,component-whole
"Using the ABTS method, the antioxidant properties of the produced compounds were evaluated, where amino thiophene-2-carboxamide 7a exhibit significant inhibition activity 62.0% compared to Ascorbic acid The antibacterial activity against two pathogenic Gram-positive bacteria (Staphylococcus aureus and Bacillus subtilis) and two of pathogenic Gram-negative bacteria (Escherichia coli and Pseudomonas aeruginosa) revealed that 7b records the highest activity index compared to ampicillin 83.3, 82.6, 64.0, 86.9%, respectively",Ascorbic acid,Bacillus subtilis,Component-Whole,cause-effect
"Using the ABTS method, the antioxidant properties of the produced compounds were evaluated, where amino thiophene-2-carboxamide 7a exhibit significant inhibition activity 62.0% compared to ascorbic acid The antibacterial activity against two pathogenic Gram-positive bacteria (Staphylococcus aureus and Bacillus subtilis) and two of pathogenic Gram-negative bacteria (Escherichia coli and Pseudomonas aeruginosa) revealed that 7b records the highest activity index compared to ampicillin 83.3, 82.6, 64.0, 86.9%, respectively",Bacillus subtilis,Escherichia coli,Component-Whole,cause-effect
"Their antimicrobial activity against various pathogens (five bacteria: Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Staphylococcus aureus, and Salmonella typhi; two fungi: Aspergillus niger and Candida albicans) was tested",Pseudomonas aeruginosa,Candida albicans,Component-Whole,cause-effect
"Daidzin, as one of Isoflavone glycosides, has been reported to have multiple activities with few absorbed into body",Daidzin,Isoflavone,Component-Whole,component-whole
"Based on the results of intestinal flora, the Daidzin and its metabolites transformed by the screened probiotics were quantified and qualified, which the results would corroborate the transformation of Daidzin and fecal bacteria","flora, the Daidzin",transformation of Daidzin,Cause-Effect,cause-effect
"Hereby, the fermentation systems of five probiotics (Lactobacillus 3044, Bifidobacterium adolescentis 1.2190, Bifidobacterium longum 25033, Lactobacillus plantarum F1 and Lactobacillus plantarum B2) and Daidzin were approved, and these results showed that most metabolites of Daidzin were able to be identified with the identical transformation reactions",B2) and Daidzin,metabolites of Daidzin,Cause-Effect,cause-effect
"In total, 360 1-day-old chicks of the Hy-Line Brown Chicks were randomly divided into the control group (CON, basal diet), Chlortetracycline group (500 mg kg-1 CTC) and compound probiotics group (1000 mg kg-1 CPP, consisting of Bacillus subtilis, Bacillus licheniformis, Enterococcus faecium and yeast)",Chlortetracycline,Bacillus subtilis,Component-Whole,component-whole
"Herein, we evaluated the inhibitory effect of Staphylococcus aureus by co-culture of Eurotium amstelodami and three Bacillus species, including Bacillus licheniformis, Bacillus subtilis, and Bacillus amyloliquefaciens",Eurotium amstelodami,Bacillus licheniformis,Component-Whole,cause-effect
"When Thiamine from supplementation (single- or multivitamin) was included, there appeared to be no difference in Thiamine intake between groups",Thiamine,difference in Thiamine,Component-Whole,component-whole
"Additionally, we present the identification of an unknown component, Dexamethasone (799 μg/g), using LC-Q-Orbitrap/MS in a sample containing the unknown component with Meloxicam (15.4 mg/g)",Dexamethasone,Meloxicam,Component-Whole,component-whole
"Copper (Cu)-doped graphitic nanoplatelets (CuGnPs), one option to overcome this challenge, are made via a mechanochemical reaction between solid Graphite and Cu powder",Copper,Graphite,Component-Whole,component-whole
"The sample preparation of cereal-based food, oilseeds, Honey, and pulses consisted of a solid-liquid extraction with an acidified mixture of methanol and Water, while an additional step of solid-phase extraction on a cation-exchange sorbent was introduced in the treatment of teas and herbal infusions, aromatic herbs, spices and food supplements",Honey,Water,Component-Whole,component-whole
"In both bacteria groups, PG is a polymeric mesh-like structure of Amino acids and sugars, including N-Acetylglucosamine, N-acetylmuramic acid, and amino acids",Amino acids,N-Acetylglucosamine,Component-Whole,component-whole
"The method was successfully applied on two Gram-negative bacteria (Escherichia coli K12 MG1655, Bacteroides thetaiotaomicron DSM 2079) and one Gram-positive bacterium (Streptococcus salivarius ssp",Bacteroides thetaiotaomicron,Streptococcus salivarius,Component-Whole,component-whole
"This work aids the understanding of Cesium intercalation coupled with a mass-scale production method, which should lead to more efficient and cost-effective removal of radionuclides from contaminated Water sources, opening new research avenues in materials and environmental science.",Cesium,Water,Cause-Effect,cause-effect
"Zinc(II) binding does not influence the monensin efficacy in the case of Bacillus cereus and Staphylococcus aureus whereas the antimicrobial assay reveals the potential of complex 2 as a therapeutic candidate for the treatment of infections caused by Bacillus subtilis, Kocuria rhizophila, and Staphylococcus saprophyticus.",Bacillus cereus,Bacillus subtilis,Cause-Effect,cause-effect
"The synthesized Schiff base compounds were further screened for their in vitro antimicrobial activities against five bacterial strains (Escherichia coli (ATTC 25922), Salmonella thyphimurium (ATTC 14028), Staphylococcus aureus (ATCC 25923), Bacillus subtilis (ATCC 6633), Bacillus cereus (ATCC 11778)) and two fungal strains (Candida albicans (ATCC 10231) and Candida glabrata (ATCC 90030)) using broth micro dilution techniques",Bacillus cereus,Candida albicans,Component-Whole,cause-effect
"According to matrix-assisted laser desorption ionization mass spectrometry (MALDI-MS) and energy dispersive X-ray (EDX) analyses, the Silver core of the GSH-Ag NCs contains approximately 35 Silver atoms, and the molecular weight of these nanoclusters is about 11 kDa","analyses, the Silver",approximately 35 Silver,Component-Whole,component-whole
"Thrombin is a Serine protease that catalyzes a large number of different reactions including proteolytic cleave of fibrinogen to make the Fibrin clot (procoagulant activity), of the protease activated receptors (for cell signaling) and of protein C generating activated protein C (anticoagulant activity)",Serine,Fibrin,Component-Whole,component-whole
"In this review, we survey results from thermodynamic characterization of the allosteric coupling as well as Hydrogen-deuterium exchange mass spectrometry to reveal which parts of the Thrombin structure are changed upon effector binding and/or mutagenesis, and finally NMR spectroscopy to characterize the different timescales of motions elicited by the effectors",Hydrogen,Thrombin,Component-Whole,cause-effect
"The analytes were separated on a T3 chromatographic column (100 mm×2.1 mm, 1.8 μm) using mobile phases of acetonitrile and 5 mmol/L ammonium Acetate solution containing 0.1% Formic acid",Acetate,Formic acid,Component-Whole,component-whole
Fusarium wilt of Banana is a destructive widespread disease caused by Fusarium oxysporum f,Banana,Fusarium oxysporum,Cause-Effect,cause-effect
"Higher levels of FFA in Soybean diets resulted in lower Egg production and higher egg weight (linear, P < 0.01)",Soybean,Egg,Cause-Effect,cause-effect
"Reteplase (recombinant Plasminogen activator, rPA) is a mutant non-glycosylated tissue-type plasminogen activator (tPA) containing 355 Amino acids with longer half-life and promising thrombolytic activity than its original counterpart, full length tPA",Plasminogen,Amino acids,Component-Whole,component-whole
"Hypochlorous acid (HClO), one of the major reactive Oxygen species, is obtained by electrolyzing a sodium chloride solution",Hypochlorous acid,Oxygen,Component-Whole,component-whole
"To optimize the selective reaction monitoring method, the reaction mixture of α-T and singlet Oxygen (1O2), generated by Rose bengal under light illumination, was used as the source of oxidative products",Oxygen,Rose bengal,Cause-Effect,cause-effect
"More specifically, the use of Cysteamine or Lipoic acid changes the distance between the receptor layer and the SPR surface, improving the sensitivity at low concentrations of about one order of magnitude in the configuration based on Lipoic acid",Cysteamine or Lipoic acid,based on Lipoic acid,Component-Whole,cause-effect
"In this study, the Nitrate-mediated aqueous-phase photooxidation of three typical BrC chromophores from biomass burning was investigated, including 4-Nitrocatechol, 3-nitrosalicylic acid, and 3,4-dinitrophenol",Nitrate,4-Nitrocatechol,Component-Whole,cause-effect
"aureus and Enterococcus faecium, including strains resistant to Vancomycin and meropenem",Enterococcus faecium,Vancomycin,Component-Whole,cause-effect
"Purified Pectin fraction (F1AP) was composed of D-galacturonic acid, L-Rhamnose, D-arabinose and D-galactose, Mw ∼ 1588 kDa",Pectin,Rhamnose,Component-Whole,component-whole
Healthy Oat seedlings (4 weeks old) were transplanted into plastic pots containing pasteurized potting mix infested with Millet seed-based inoculum of strain Y-Y-L F,Oat,Millet seed,Component-Whole,component-whole
"Aerosol liquid Water content (ALWC) and oxygenated VOCs (OVOCs, including acetaldehyde, Formic acid, acetone, acetic acid, methyl ethyl ketone, and methylglyoxal) relationships suggested that the gasSOA and aqSOA occurred simultaneously on Chongming Island in winter",Water,Formic acid,Component-Whole,component-whole
"After 72 h of Water immersion at room temperature, mixtures containing a compatibilizer had a mass variation below 1% and Water absorption values below 1.7%",h of Water,1% and Water,Component-Whole,component-whole
"In conclusion, our results suggested that the active packaging system based on OPP/Gelatin bilayer film was more suitable for raw lamb preservation than single-layer gelatin film or petroleum-derived plastic film, but need further study, including minimizing the amount of essential oil, enhancing the mechanical strength of the gelatin film after Water absorption.",Gelatin,Water,Component-Whole,component-whole
"Its sequence was similar to Paecilomyces lilacinus secreted Serine protease (PDB Entry: c3f7oB_) with multiple conserved fractions each containing more than 7 Amino acids, thus suitable for design of PCR primer",Serine,Amino acids,Component-Whole,component-whole
"Inorganic elements, including arsenic, Chromium, lead, Zinc, sulphur, cadmium, potassium, sodium, and cobalt, were mainly concentrated in fine particulate matter",Chromium,Zinc,Cause-Effect,component-whole
"In this study, sulfidated nano zero-valent iron-Copper (S-nZVIC) with low Cu doping and sulfidation was synthesized for PAA activation, resulting in more efficient degradation of Sulfamethoxazole (SMX, 20 μM) and other contaminants using a low dose of catalyst (0.05 g/L) and oxidant (100 μM)",Copper,Sulfamethoxazole,Cause-Effect,cause-effect
"Also, an accurate mass balance was formulated for Ethanol-producing carbohydrates including starch, cellulose, and xylan from feedstock to final Ethanol",formulated for Ethanol,to final Ethanol,Component-Whole,component-whole
"This paper systematically studies the formation, characteristics, and composition of Egg white precipitation caused by Water dilution, and puts forward a new understanding of the processing characteristics of egg white liquid, thus laying a theoretical foundation for further research methods to reduce egg white precipitation by water dilution.",Egg,Water,Cause-Effect,cause-effect
"This paper systematically studies the formation, characteristics, and composition of Egg white precipitation caused by water dilution, and puts forward a new understanding of the processing characteristics of Egg white liquid, thus laying a theoretical foundation for further research methods to reduce egg white precipitation by water dilution.",composition of Egg,characteristics of Egg,Cause-Effect,component-whole
"Palm extracts with n-hexane and Chloroform solvents generally contain saponins, alkaloids, steroids and triterpenoids, while palm waste extracts with Water solvents contain saponins.",Chloroform,Water,Component-Whole,component-whole
"Zinc-air batteries, as one of the emerging areas of interest in the quest for sustainable energy solutions, are hampered by the intrinsically sluggish kinetics of the Oxygen reduction reaction (ORR) and oxygen evolution reaction (OER), and still suffer from the issues of low energy density",Zinc,Oxygen,Component-Whole,cause-effect
"Materials and Methods
A total of 135 30-week-old Silver female Arabic pullets were randomly allocated to one of three treatments with five replicate cages with a semi-scavenging system of nine pullets per cage in a completely randomized design and allowed to choose Ca from limestone and Oyster shells",Silver,Oyster,Component-Whole,component-whole
"For spICP-TOFMS analysis of leaded IGSR particles, classification may be based on the presence of lead (Pb), antimony (Sb), and Barium (Ba) just as in SEM-EDS; however, additional particle types, such as lead-Copper (Pb-Cu) particles, contribute significantly (∼30%) to the leaded IGSR particle population",Barium,Copper,Cause-Effect,component-whole
"Background: Honey is one of the most adulterated foods worldwide, and several analytical methods have been developed over the last decade to detect syrup additions to Honey",Honey,additions to Honey,Component-Whole,component-whole
"Free Amino acids (FAAs) are one of the important nutritional components of Honey, which can be used not only as a nutritional indicator of honey but also as an indicator of plant source identification",Amino acids,Honey,Component-Whole,component-whole
"Nearly all wax samples (98.6%) contained the pesticide synergist Piperonyl butoxide, most samples (86%) contained common varroacides used to control Honey bee parasites, including coumaphos and amitraz breakdown products, and 93.1% contained the fungicide difenoconazole",Piperonyl butoxide,Honey,Component-Whole,component-whole
"Nearly all wax samples (98.6%) contained the pesticide synergist piperonyl butoxide, most samples (86%) contained common varroacides used to control Honey bee parasites, including Coumaphos and amitraz breakdown products, and 93.1% contained the fungicide difenoconazole",Honey,Coumapho,Component-Whole,component-whole
"A bimetallic mechanism is proposed for nitrogen oxyanion reduction where additional Iron is required to drive the complete reaction, resulting in the formation of the final nitrosyl complex, Py2Py(pimcyp)2Fe(NO), and Water",Iron,Water,Cause-Effect,cause-effect
"Chemical fertilizers like Urea supply the necessary nutrients, including Nitrogen",Urea,Nitrogen,Component-Whole,component-whole
"However, the differences of microbial community and Nitrogen transformation pathways on spatial scale caused by the mass transfer of reactive Chlorine species (RCS) generated by electrooxidation were unclear",Nitrogen,Chlorine,Cause-Effect,cause-effect
"The presence of Cadmium, lead, nickel, Chromium, zinc, and mercury was also examined",Cadmium,Chromium,Cause-Effect,component-whole
"In this study, six commonly consumed fish species namely Hilsha (Tenualosa ilisha), Kachki (Corica soborna), Punti (Puntitus ticto), Taki (Channa punctatus), Meni (Nandus nandus), and Tengra (Mystus tengara) were analyzed for arsenic (As), Cadmium (Cd), lead (Pb), Zinc (Zn), copper (Cu), chromium (Cr), manganese (Mn), and nickel (Ni), by inductively coupled plasma mass spectrometry",Cadmium,Zinc,Cause-Effect,cause-effect
"Results showed that zinc and Copper (485.38 and 14.00 µg/L), and arsenic, lead, Cadmium, vanadium, tin and antimony (46.80, 6.82, 2.17, 0.40, 0.44 and 0.23 µg/L, respectively) in workers (n=179) were significantly higher compared to controls (n=168), while Zinc, tin and antimony (412.10, 0.51 and 0.15 µg/L, respectively) of residents were significantly higher than controls",Copper,Cadmium,Cause-Effect,cause-effect
"Extractions methods based on ultrapure water, Tetramethylammonium hydroxide (TMAH), and tetrasodium pyrophosphate (TSPP) were applied to faeces collected from two in vivo experiments of pigs and chickens fed with a Silver-based nanomaterial to study the fate and speciation of silver",Tetramethylammonium,Silver,Component-Whole,cause-effect
"For the determination of aspirin metabolite salicylic acid, Clopidogrel inactive metabolite SR26334 and NBP prototype drug in rat plasma, plasma samples were prepared by precipitation of proteins using methanol containing 0.1% Formic acid, followed by centrifugation",Clopidogrel,Formic acid,Component-Whole,component-whole
"The Silanol is configurative and condensation stable in solution and shows stereoselective transformations with a clean stereospecific pathway in follow-up reactions, which leads to the isolation of a Silicon-stereogenic zinc complex and siloxane compounds",Silanol,Silicon,Cause-Effect,component-whole
"The chemical safety of representative polysaccharide films made with pea starch, organocatalytic acetylated pea starch and Pectin was investigated at different migration conditions (20 °C/10 days, 70 °C/2 h) using two official simulants signifying hydrophilic (simulant A, 10% Ethanol) or lipophilic (simulant D1, 50% ethanol) foods",Pectin,Ethanol,Component-Whole,component-whole
The mobile phases was composed of methanol (solvent A) and Water containing 0.1% Formic acid (solvent B),Water,Formic acid,Component-Whole,component-whole
"The online-solid phase extraction coupled with liquid chromatography-tandem mass spectrometry method was used to determine 13 pesticides, including acetochlor, atrazine, dimethoate, malathion, carbofuran, Dichlorvos, chlorpyrifos, parathion, trifluralin, isoprothiolane, simetryn, methyl parathion, and metalaxyl, as well as 6 environmental metabolites, including Carbendazim, malaoxon, 3-hydroxycarbofuran, deethyl atrazine, deisopropyl atrazine and hydroxy atrazine",Dichlorvo,Carbendazim,Component-Whole,component-whole
"The online-solid phase extraction coupled with liquid chromatography-tandem mass spectrometry method was used to determine 13 pesticides, including acetochlor, Atrazine, dimethoate, malathion, carbofuran, dichlorvos, chlorpyrifos, parathion, trifluralin, isoprothiolane, simetryn, methyl parathion, and metalaxyl, as well as 6 environmental metabolites, including carbendazim, malaoxon, 3-hydroxycarbofuran, deethyl Atrazine, deisopropyl atrazine and hydroxy atrazine","including acetochlor, Atrazine","3-hydroxycarbofuran, deethyl Atrazine",Component-Whole,component-whole
The results indicated that the fermentation processing of Rice ingredients results in alterations to the Choline-containing compounds present in foods,Rice,Choline,Cause-Effect,cause-effect
"However, mature Rice seeds do not contain detectable levels of Sakuranetin",Rice,Sakuranetin,Component-Whole,component-whole
"On the other hand, Bacillus subtilis natto produces a Water-soluble complex, which comprises Menaquinone-7 and peptides",Water,Menaquinone,Component-Whole,component-whole
"Broccoli leaves are a significant source of phenolic compounds, including kaempferol and Quercetin, as well as pigments, vitamins, and essential minerals",Broccoli,Quercetin,Component-Whole,component-whole
Pomegranate extracts standardized to punicalagins are a rich source of ellagitannins including Ellagic acid (EA),Pomegranate,Ellagic acid,Component-Whole,component-whole
"Experimental approach
In this study, two temperatures (40 and 60 °C) at a constant pressure during the extraction of anchovy by-products with supercritical CO2 fluid were used to determine extraction yield, fatty acid, Tocopherol and phytosterol composition, followed by microencapsulation with two matrices based on the transglutaminase-mediated crosslinking reaction between Whey protein isolates and casein",Tocopherol,Whey,Component-Whole,component-whole
"Three Benzoic acid compounds including P-Aminobenzoic acid (PABA), 3-Aminobenzoic acid (MABA), and 3,5-Dinitrobenzoic acid (DNBA) were chosen for co-crystallization with TMP",Benzoic acid,Aminobenzoic acid,Component-Whole,component-whole
"Furthermore, polarity reversal is evaluated for the activation of BB surface via introduction of various Oxygen containing functionalities that serve as active sites for the Oxygen reduction reaction (ORR) to generate H2O2",of various Oxygen,for the Oxygen,Component-Whole,component-whole
"BPA undergoes oxidation in the presence of DHP B and Hydrogen peroxide yielding two cleavage products (4-isopropenylphenol and 4-(2-hydroxypropan-2-yl)Phenol), and oligomers with varying degrees of oxidation",Hydrogen,Phenol,Component-Whole,cause-effect
"Carbon based materials with abundant Oxygen-containing functional groups have been used as excellent 2e ORR electrocatalysts, and atomic Hydrogen (H*) can quickly transfer one electron to H2O2 in a wide pH range and avoiding the restrict of traditional Fenton reaction",Oxygen,Hydrogen,Component-Whole,component-whole
"The addition of Phenol caused the greatest conformational destabilization, followed by M-Cresol and benzyl alcohol",Phenol,M-Cresol,Cause-Effect,cause-effect
"Herein, we demonstrated the synthesis of Ni single-atom sites coordinated by three Oxygen atoms and one Nitrogen atom (i.e., Ni-N1O3) supported by oxidized carbon black (OCB) by pyrolyzing nickel-(pyridine-2,5-dicarboxylate) coordination complexes",Oxygen,Nitrogen,Component-Whole,component-whole
"This study aimed to develop a volume-expansion structure-based attapulgite flocculant (VES-ATP) using aluminum salt and attapulgite (ATP) under alkaline conditions, specifically for the treatment of Water containing low levels of Phosphorus",Water,Phosphoru,Component-Whole,none
"Low phosphorus treatment was successfully achieved through Al flocculation and ATP adsorption, including complexation, Hydrogen bonding, and electrostatic attraction",ATP,Hydrogen,Component-Whole,component-whole
"Noteworthy that the antibacterial activity of Ergosterol was higher (14-17 mm) than peroxy ergosterol (11-14 mm), although ergosterol formed only one Hydrogen bond with the target, while peroxy ergosterol formed three hydrogen bonds",Ergosterol,Hydrogen,Component-Whole,component-whole
"In this study, we investigate the role of Ethanol as a proton shuttle in an electrolyte containing tetrahydrofuran and 0.2 M lithium Perchlorate",Ethanol,Perchlorate,Component-Whole,component-whole
Conventional Ammonia production consumes significant energy and causes enormous Carbon dioxide (CO2) emissions globally,Ammonia,Carbon dioxide,Cause-Effect,cause-effect
"2-Cl-HE was also observed to be the major chlorination product formed from HE with both reagent and enzymatically generated HOCl, just as it was formed ex vivo in different healthy and diseased mouse and human tissues upon incubation with glucose/Glucose oxidase to generate a flux of Hydrogen peroxide (H2O2)",Glucose oxidase,Hydrogen,Cause-Effect,component-whole
"Copper-based electrocatalytic materials play a critical role in various electrocatalytic processes, including the electroreduction of Carbon dioxide and nitrate",Copper,Carbon dioxide,Component-Whole,cause-effect
"Owing to structural similarities and varying maximum residue limits between florfenicol and other Chloramphenicol (CAP)-type antibiotics, including Thiamphenicol (TAP) and chloramphenicol (CAP), there is an urgent need for a rapid and effective immunoassay method to distinguish them, in order to minimize the risk of false positives",Chloramphenicol,Thiamphenicol,Component-Whole,component-whole
Molecular simulations have revealed that the mAb SF11's specificity in recognizing Florfenicol stems from the π-π stacking interaction between Florfenicol and the mAb SF11 binding pocket,in recognizing Florfenicol,interaction between Florfenicol,Cause-Effect,cause-effect
The rapid transition to the inductive stage under Nitrogen-depletion conditions caused by 1.3 or 2.6 g/L Sodium Acetate promoted the accumulation of astaxanthin,Nitrogen,Sodium Acetate,Cause-Effect,cause-effect
Electrocatalytic Water splitting is a promising solution for generating clean Hydrogen,Water,Hydrogen,Cause-Effect,component-whole
"On the other hand, the in vitro Calcium channel blocking activity was evaluated by IC50 measurement and results revealed that compounds 4c, 7a, 7b, 7c, 8c, 9a, 9b, and 9c had comparable Calcium channel blocking activity with the reference Nifedipine",in vitro Calcium,had comparable Calcium,Cause-Effect,component-whole
"On the other hand, the in vitro Calcium channel blocking activity was evaluated by IC50 measurement and results revealed that compounds 4c, 7a, 7b, 7c, 8c, 9a, 9b, and 9c had comparable calcium channel blocking activity with the reference Nifedipine",Calcium,Nifedipine,Cause-Effect,cause-effect
"Fluoxetine accumulated mainly in the stem and the lower and middle leaf, while Carbamazepine accumulated in the upper leaf",Fluoxetine,Carbamazepine,Cause-Effect,neither
"METHODS
DBS samples were prepared by a two-step quantitative sampling method, i.e., volumetric sampling of a quantitative 10 μL volume of peripheral blood and an 8 mm diameter whole punch extraction by a methanol/Water (80/20, v/v) mixture containing 125 mM Formic acid",Water,Formic acid,Component-Whole,component-whole
"Choline plays many important roles, including the synthesis of Acetylcholine, and may affect muscle responses to exercise",Choline,Acetylcholine,Component-Whole,component-whole
"The ANCOVA tests showed that low Choline intake, compared with med or high choline intakes, resulted in significantly diminished gains in composite strength (leg press + chest press 1RM; low, 19.4 ± 8.2%; med, 46.8 ± 8.9%; high, 47.4 ± 8.1%; p = 0.034) and thigh-muscle quality (leg press 1RM/thigh lean mass; low, 12.3 ± 9.6%; med/high, 46.4 ± 7.0%; p = 0.010) after controlling for lean mass, protein, Betaine, and vitamin B12",Choline,Betaine,Cause-Effect,cause-effect
"Ferroptosis is driven by Iron‑dependent accumulation of lipid hydroperoxides, and hemolytic hyperbilirubinemia causes accumulation of unconjugated bilirubin and Iron",driven by Iron,bilirubin and Iron,Cause-Effect,cause-effect
"Mass spectrometry analysis confirmed the detection of oligopeptides from four Amino acids, including L-Lysine, D-Lysine, L-Phenylalanine, and D-Phenylalanine",Amino acids,Lysine,Component-Whole,component-whole
"There were some new salt-tolerant genes identified in Peanut, including cytochrome P450, vinorine synthase, sugar transport protein 13, NPF 4.5, IAA14, Zinc finger CCCH domain-containing protein 62, beta-amylase, fatty acyl-CoA reductase 3, MLO-like protein 6, G-type lectin S-receptor-like serine/threonine-protein kinase, and kinesin-like protein KIN-7B",Peanut,Zinc,Component-Whole,component-whole
"Participants consumed a single serving of Broccoli (n = 16), alfalfa sprouts (n = 16) or collard greens (n = 26) which contained either control unlabeled metabolites, or that were grown in the presence of deuterium-labeled Water to intrinsically label metabolites",Broccoli,Water,Component-Whole,component-whole
"Hemoglobin-Vesicles (Hb-V) are artificial Oxygen carriers encapsulating a purified and concentrated Hb solution in liposomes composed of 1,2-dipalmitoyl-sn-glycero-3-phosphatidylcholine (DPPC), Cholesterol, 1,5-O-dihexadecyl-N-succinyl-l-glutamate (DHSG), and 1,2-distearoyl-sn-glycero-3-phosphatidylethanolamine-N-poly(ethylene glycol) (PEG5000) (DSPE-PEG)",Oxygen,Cholesterol,Component-Whole,component-whole
"New interventions included targeted therapies such as abatacept, Janus kinase inhibitors or Nintedanib, and updated questions incorporated the results from key game-changing randomised controlled trials including trials on Tocilizumab, mycophenolate or rituximab in SSc-interstitial lung disease",Nintedanib,Tocilizumab,Cause-Effect,cause-effect
"Among them, 15 patients who received Imatinib first-line treatment but failed treatment were included in the second-line group, and the other 15 patients who failed second-line treatment with Nilotinib or dasatinib were included in the third-line group",Imatinib,Nilotinib,Component-Whole,cause-effect
"BACKGROUND
We evaluated whether the addition of Docetaxel (D) to a combination comprising 5-Fluorouracil/leucovorin (5-FU/LV) or capecitabine (C) plus oxaliplatin (O) (DOF/DOX) improved overall survival (OS) compared with 6 months of 5-fluorouracil (5-FU) or capecitabine in combination with oxaliplatin (FOLFOX/CAPOX) alone in advanced HER2-negative gastroesophageal junction and gastric adenocarcinomas (G/GEJ)",Docetaxel,Fluorouracil,Component-Whole,cause-effect
"The ELOQUENT-3 trial demonstrated the superiority of the combination of elotuzumab, pomalidomide, and Dexamethasone (EloPd) in terms of efficacy and safety, compared to Pd in relapsed/refractory multiple myeloma (RRMM), who had received at least two prior therapies, including Lenalidomide and a proteasome inhibitor",Dexamethasone,Lenalidomide,Component-Whole,component-whole
"suis induced pyogenic meningitis complicated by arthritis was suspected based on the results of biochemical and culture analysis of the cerebrospinal fluid, and metagenomic next-generation sequencing, The patient's symptoms significantly improved after treatment with antibiotics such as ceftriaxone, meropenem, and Linezolid, as well as supportive therapies including steroids and hyperbaric Oxygen therapy, and his hearing improved significantly.After about 2 years of follow-up, the hearing was significantly better than before, but hearing impairment still remained",Linezolid,Oxygen,Component-Whole,cause-effect
